Title,Authors,Publisher,Citations,Year
Ein einfaches Experiment zum Nachweis der Ampèreschen Molekularströme,A Einstein,Friedr. Vieweg & Sohn,151,1916
Zur Theorie der Radiometerkräfte,A Einstein,"Zeitschrift für Physik A Hadrons and Nuclei 27 (1), 1-6",150,1924
Brownian motion,"A Einstein, M Smoluchowski","ONTI, Moscow",149,1936
Elementary derivation of the equivalence of mass and energy,A Einstein,"Bull. Amer. Math. Soc 61 (4), 223-230",148,1935
Aus meinen späten Jahren,A Einstein,Deutsche Verlags-Anstalt,147,1952
Zur allgemeinen molekularen Theorie der Wärme,A Einstein,"Annalen der Physik 319 (7), 354-362",146,1904
Eine Theorie der Grundlagen der Thermodynamik,A Einstein,"Annalen der Physik 316 (5), 170-187",145,1903
Eine Beziehung zwischen dem elastischen Verhalten und der spezifischen Wärme bei festen Körpern mit einatomigem Molekül,A Einstein,"Annalen der Physik 339 (1), 170-174",144,1911
Einstein on peace,A Einstein,Random House Value Publishing,143,1968
"Einstein on Peace, ed. Otto Nathan and Heinz Norden",A Einstein,New York: Simon and Schuster,143,1960
Do gravitational fields play an essential role in the structure of elementary particles?,A Einstein,Sitzungsber. d. Preuss. Akad. d. Wiss,139,1919
Zur Theorie des statischen Gravitationsfeldes,A Einstein,"Annalen der Physik 343 (7), 443-458",138,2006
Die Ursache der Mäanderbildung der Flußläufe und des sogenannten Baerschen Gesetzes,A Einstein,"Naturwissenschaften 14 (11), 223-224",137,1926
My theory,A Einstein,The Times 13,131,1919
Scientific papers presented to Max Born,A Einstein,"Edinburgh, Oliver and Boyd, 33",128,1953
A new form of the general relativistic field equations,"A Einstein, B Kaufman","The Annals of Mathematics 62 (1), 128-138",127,1955
Unified field theory of gravitation and electricity,A Einstein,"Session Report of Prussian Acad. Sci, 414-419",125,1925
"Preussische akademie der wissenschaften, Phys-math",A Einstein,"Klasse, Sitzungsberichte 23 (3)",124,1925
How I created the theory of relativity,A Einstein,"Physics Today 35 (8), 45-47",123,1982
Über den Äther,"A Einstein, A Einstein, G Physicist, A Einstein",Schweighauser,123,1924
Living philosophies,A Einstein,AMS,122,1979
Kovarianzeigenschaften der Feldgleichungen der auf die verallgemeinerte Relativitätstheorie gegründeten Gravitationstheorie,"A Einstein, M Grossmann","Zeitschrift für Mathematik und Physik 63, 215-225",118,1914
Maxwell’s influence on the development of the conception of physical reality,A Einstein,James Clerk Maxwell: A Commemoration 1831,114,1931
Folgerungen aus den Capillaritätserscheinungen,A Einstein,"Annalen der Physik 309 (3), 513-523",114,1901
Kinetische Theorie des Wärmegleichgewichtes und des zweiten Hauptsatzes der Thermodynamik,A Einstein,"Annalen der Physik 314 (10), 417-433",110,1902
Theoretische bemerkungen über die brownsche bewegung,A Einstein,"Zeitschrift für elektrochemie und angewandte physikalische chemie 13 (6), 41-42",108,2010
Principles of research,A Einstein,"address) Physical Society, Berlin, reprinted in Ideas and Opinions, Crown",108,1954
Einstein and the Poet: In Search of the Cosmic Man,"W Hermanns, A Einstein",Branden Books,106,1983
Koniglich Preuβische Akademie der Wissenschaften,A Einstein,Berlin: Sitzungsberichte 688,105,1916
The Bianchi identities in the generalized theory of gravitation,A Einstein,"Can. J. Math 2, 120-128",102,1950
Koniglich Preussische Akademie der Wissenschaften,A Einstein,Tradução em português em: O Princípio da Relatividade,101,1983
Sur l'électrodynamique des corps en mouvement,"A Einstein, A Einstein, G Physicist, A Einstein",Gauthier-Villars,100,1965
Sur l'électrodynamique des corps en mouvement,A Einstein,Gauthier-Villars,100,1925
Sur l'électrodynamique des corps en mouvement,A Einstein,Gauthier-Villars et Cie.,100,1905
Knowledge of past and future in quantum mechanics,"A Einstein, RC Tolman, B Podolsky","Physical Review 37 (6), 780-781",99,1931
Quantentheoretische Bemerkungen zum Experiment von Stern und Gerlach,"A Einstein, P Ehrenfest","Zeitschrift für Physik A Hadrons and Nuclei 11 (1), 31-34",99,1922
"TIME, SPACE, AND GRAVITATION.",A Einstein,"Science (New York, NY) 51 (1305), 8",99,1920
The Origins of the General Theory of Relativity,A Einstein,"Jackson, Wylie",98,1933
Relativitätstheorie in mathematischer Behandlung,"SAS Eddington, A Einstein",J. Springer,98,1925
Königlich Preußische Akademie der Wissenschaften Berlin,A Einstein,"Sitzungsberichte, Erster Halbband 688",98,1916
The human side,A Einstein,,97,1979
Warum Krieg?,"A Einstein, S Freud",Diogenes,95,1972
Warum Krieg?,"A Einstein, S Freud","Internationales Institut für Geistige Zusammenarbeit, Völkerbund",95,1933
La théorie de la relativité restreinte et générale,"A Einstein, M Solovine, E Borel",Dunod,94,1990
Induktion und Deduktion in der Physik,A Einstein,"Berliner Tageblatt 25 (Suppl 4), 1",94,1919
Thermodynamische Begründung des photochemischen Äquivalentgesetzes,A Einstein,"Annalen der Physik 342 (4), 832-838",94,1912
Relativität und gravitation. Erwiderung auf eine bemerkung von M. Abraham,A Einstein,"Annalen der Physik 343 (10), 1059-1064",93,1912
Planck’s theory of radiation and the theory of specific heat,A Einstein,"Annalen der Physik 22, 180-190",93,1907
The Photoelectric Effect,A Einstein,"Annalen der Phy-sik, Wiley-VCH Verlag GmbH & Co. KgaA, Berlin",93,1905
"Einleitende Bemerkungen über Grundbegriffe (with French transl. Remarques préliminaires sur les principes fondamentaux, by MA Tonnelat)",A Einstein,"Louis de Broglie, physicien et penseur, 4-15",92,1953
The special theory of relativity,A Einstein,"Ann Phys 17, 891-921",92,1905
Experimental proof of the existence of Ampère's molecular currents,"A Einstein, WJ De Haas, A Einstein, G Physicist, A Einstein","Koninklijke Akademie van Wetenschappen te Amsterdam, Proceedings 18, 696-711",91,1915
"Letters on Absolute Parallelism, 1929-1932: Correspondence Between Elie Cartan and Albert Einstein","EJ Cartan, A Einstein",Princeton University Press,89,1979
Sobranie nauchnykh trudov,A Einstein,Nauka,89,1967
Kritisches zu einer von Hrn. de Sitter gegebenen Lösung der Gravitationsgleichungen,A Einstein,"Albert Einstein: Akademie‐Vorträge, 150-153",89,1918
Notiz zu unserer Arbeit,"A Einstein, WJ de Haas","Deutsche Physikalische Gesellschaft 17, 420",88,1915
Experimenteller Nachweis der Ampèreschen Molekularströme,A Einstein,"Naturwissenschaften 3 (19), 237-238",87,1915
Bemerkung zu der Arbeit von A. Friedmann „Über die Krümmung des Raumes “,A Einstein,"Zeitschrift für Physik A Hadrons and Nuclei 11 (1), 326-326",85,1922
Vier Vorlesungen über Relativitätstheorie gehalten im Mai 1921 an der Universität Princeton,"A Einstein, A Einstein, A Einstein, G Physicist, A Einstein",F. Vieweg,85,1922
Quantum mechanics and reality,A Einstein,"Dialectica 2, 320-324",83,1948
Neue Möglichkeit für eine einheitliche Feldtheorie von Gravitation und Elektrizität,A Einstein,"Albert Einstein: Akademie‐Vorträge, 322-326",83,1928
Physikalische Gesellschaft Zuerich,A Einstein,"Mitteilungen 18, 47",83,1916
¿ Por qué la Guerra?,"A Einstein, S Freud, E Resta",,82,2001
"The Collected Papers of Albert Einstein, Volume 8: The Berlin Years: Correspondence, 1914-1918.",A Einstein,The collected papers of Albert Einstein,82,1998
Letter to Jacques Hadamard,A Einstein,"The creative process, 42-43",81,1952
"Albert Einstein, the Human Side: New Glimpses from His Archives",A Einstein,Princeton University Press,80,1981
La Théorie de la Relativité,A Einstein,"Bull. Amer. Math. Soc. 41 (1935), 611. DOI: 10.1090/S0002-9904-1935-06153-1 …",78,1935
Einheitliche Feldtheorie und Hamiltonsches Prinzip,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,77,2006
"Conceptions scientifiques, morales et sociales: traduit de l'anglais par Maurice Solovine",A Einstein,Flammarion,77,1952
Einstein on Cosmic Religion and Other Opinions and Aphorisms,A Einstein,Dover Publications,76,2009
